	time		p1		p2
   2.9100000e+00   3.7874377e-01  -1.3472505e-02
   2.9200000e+00   3.7874365e-01  -1.3472507e-02
   2.9300000e+00   3.7874352e-01  -1.3472509e-02
   2.9400000e+00   3.7874340e-01  -1.3472511e-02
   2.9500000e+00   3.7874327e-01  -1.3472512e-02
   2.9600000e+00   3.7874315e-01  -1.3472514e-02
   2.9700000e+00   3.7874303e-01  -1.3472516e-02
   2.9800000e+00   3.7874290e-01  -1.3472517e-02
   2.9900000e+00   3.7874278e-01  -1.3472519e-02
   3.0000000e+00   3.7874265e-01  -1.3472521e-02
   3.0100000e+00   3.7874253e-01  -1.3472523e-02
   3.0200000e+00   3.7874241e-01  -1.3472524e-02
   3.0300000e+00   3.7874228e-01  -1.3472526e-02
   3.0400000e+00   3.7874216e-01  -1.3472528e-02
   3.0500000e+00   3.7874203e-01  -1.3472530e-02
   3.0600000e+00   3.7874191e-01  -1.3472531e-02
   3.0700000e+00   3.7874179e-01  -1.3472533e-02
   3.0800000e+00   3.7874166e-01  -1.3472535e-02
   3.0900000e+00   3.7874154e-01  -1.3472536e-02
   3.1000000e+00   3.7874141e-01  -1.3472538e-02
   3.1100000e+00   3.7874129e-01  -1.3472540e-02
   3.1200000e+00   3.7874117e-01  -1.3472542e-02
   3.1300000e+00   3.7874104e-01  -1.3472543e-02
   3.1400000e+00   3.7874092e-01  -1.3472545e-02
   3.1500000e+00   3.7874079e-01  -1.3472547e-02
   3.1600000e+00   3.7874067e-01  -1.3472548e-02
   3.1700000e+00   3.7874055e-01  -1.3472550e-02
   3.1800000e+00   3.7874042e-01  -1.3472552e-02
   3.1900000e+00   3.7874030e-01  -1.3472554e-02
   3.2000000e+00   3.7874017e-01  -1.3472555e-02
   3.2100000e+00   3.7874005e-01  -1.3472557e-02
   3.2200000e+00   3.7873993e-01  -1.3472559e-02
   3.2300000e+00   3.7873980e-01  -1.3472560e-02
   3.2400000e+00   3.7873968e-01  -1.3472562e-02
   3.2500000e+00   3.7873956e-01  -1.3472564e-02
   3.2600000e+00   3.7873943e-01  -1.3472566e-02
   3.2700000e+00   3.7873931e-01  -1.3472567e-02
   3.2800000e+00   3.7873918e-01  -1.3472569e-02
   3.2900000e+00   3.7873906e-01  -1.3472571e-02
   3.3000000e+00   3.7873894e-01  -1.3472572e-02
